2011-09-03 22:23:56 Notice: Notice (8): Undefined index: User in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/views/users/view.ctp, line 6]
2011-09-03 22:23:56 Notice: Notice (8): Undefined index: User in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/views/users/view.ctp, line 11]
2011-09-03 22:23:56 Notice: Notice (8): Undefined index: User in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/views/users/view.ctp, line 16]
2011-09-03 22:23:56 Notice: Notice (8): Undefined index: Group in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/views/users/view.ctp, line 21]
2011-09-03 22:23:56 Notice: Notice (8): Undefined index: User in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/views/users/view.ctp, line 26]
2011-09-03 22:23:56 Notice: Notice (8): Undefined index: User in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/views/users/view.ctp, line 31]
2011-09-03 22:23:56 Notice: Notice (8): Undefined index: User in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/views/users/view.ctp, line 39]
2011-09-03 22:23:56 Notice: Notice (8): Undefined index: User in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/views/users/view.ctp, line 40]
2011-09-03 22:23:59 Notice: Notice (8): Undefined index: User in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/views/users/view.ctp, line 6]
2011-09-03 22:23:59 Notice: Notice (8): Undefined index: User in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/views/users/view.ctp, line 11]
2011-09-03 22:23:59 Notice: Notice (8): Undefined index: User in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/views/users/view.ctp, line 16]
2011-09-03 22:23:59 Notice: Notice (8): Undefined index: Group in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/views/users/view.ctp, line 21]
2011-09-03 22:23:59 Notice: Notice (8): Undefined index: User in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/views/users/view.ctp, line 26]
2011-09-03 22:23:59 Notice: Notice (8): Undefined index: User in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/views/users/view.ctp, line 31]
2011-09-03 22:23:59 Notice: Notice (8): Undefined index: User in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/views/users/view.ctp, line 39]
2011-09-03 22:23:59 Notice: Notice (8): Undefined index: User in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/views/users/view.ctp, line 40]
2011-09-03 22:24:19 Notice: Notice (8): Undefined property: CakeErrorController::$user in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/app_controller.php, line 28]
2011-09-03 22:24:43 Notice: Notice (8): Undefined index: User in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/views/users/view.ctp, line 6]
2011-09-03 22:24:43 Notice: Notice (8): Undefined index: User in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/views/users/view.ctp, line 11]
2011-09-03 22:24:43 Notice: Notice (8): Undefined index: User in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/views/users/view.ctp, line 16]
2011-09-03 22:24:43 Notice: Notice (8): Undefined index: Group in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/views/users/view.ctp, line 21]
2011-09-03 22:24:43 Notice: Notice (8): Undefined index: User in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/views/users/view.ctp, line 26]
2011-09-03 22:24:43 Notice: Notice (8): Undefined index: User in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/views/users/view.ctp, line 31]
2011-09-03 22:24:43 Notice: Notice (8): Undefined index: User in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/views/users/view.ctp, line 39]
2011-09-03 22:24:43 Notice: Notice (8): Undefined index: User in [/Applications/XAMPP/xamppfiles/htdocs/kh/app/views/users/view.ctp, line 40]
